,Class,Sample,Date,Peak,scan_number,Intensity,Area%,CAS_ID,Quality,Peak_ID,RI,Sample_ID
59,CU,CU3,2015/11/03,37,3746,426188,0.56,000105-66-8,90.0,CU3-1103-37,9.00769003253,CU3-1103
60,CU,CU3,2015/11/03,38,3792,77621,0.1,004389-50-8,64.0,CU3-1103-38,9.06203241895,CU3-1103
61,CU,CU3,2015/11/03,38,3792,77621,0.1,002941-78-8,64.0,CU3-1103-38,9.06203241895,CU3-1103
62,CU,CU3,2015/11/03,38,3792,77621,0.1,999067-89-0,64.0,CU3-1103-38,9.06203241895,CU3-1103
63,CU,CU3,2015/11/03,39,3814,54795,0.07,000111-76-2,58.0,CU3-1103-39,9.0898912348,CU3-1103
64,CU,CU3,2015/11/03,40,3833,2772909,3.66,000590-01-2,90.0,CU3-1103-40,9.11522094926,CU3-1103
65,CU,CU3,2015/11/03,41,3883,958482,1.27,000628-63-7,83.0,CU3-1103-41,9.18835019184,CU3-1103
66,CU,CU3,2015/11/03,41,3883,958482,1.27,000123-92-2,83.0,CU3-1103-41,9.18835019184,CU3-1103
67,CU,CU3,2015/11/03,42,3905,85027,0.11,000100-66-3,95.0,CU3-1103-42,9.22333931777,CU3-1103
68,CU,CU3,2015/11/03,43,3961,51896,0.07,036982-54-4,50.0,CU3-1103-43,9.32310679612,CU3-1103
69,CU,CU3,2015/11/03,43,3961,51896,0.07,999033-80-2,50.0,CU3-1103-43,9.32310679612,CU3-1103
70,CU,CU3,2015/11/03,44,3974,177030,0.23,000106-70-7,86.0,CU3-1103-44,9.34877276326,CU3-1103
71,CU,CU3,2015/11/03,45,4167,594261,0.78,068039-26-9,83.0,CU3-1103-45,9.88962839712,CU3-1103
72,CU,CU3,2015/11/03,45,4167,594261,0.78,037064-20-3,83.0,CU3-1103-45,9.88962839712,CU3-1103
73,CU,CU3,2015/11/03,46,4263,188659,0.25,999160-45-4,45.0,CU3-1103-46,10.3610533611,CU3-1103
74,CU,CU3,2015/11/03,46,4263,188659,0.25,999161-75-9,43.0,CU3-1103-46,10.3610533611,CU3-1103
75,CU,CU3,2015/11/03,46,4263,188659,0.25,000610-49-1,43.0,CU3-1103-46,10.3610533611,CU3-1103
76,CU,CU3,2015/11/03,47,4301,114190,0.15,000098-86-2,38.0,CU3-1103-47,10.6207692308,CU3-1103
77,CU,CU3,2015/11/03,47,4301,114190,0.15,000622-96-8,38.0,CU3-1103-47,10.6207692308,CU3-1103
78,CU,CU3,2015/11/03,48,4402,1428096,1.89,000105-68-0,90.0,CU3-1103-48,11.6952277657,CU3-1103
79,CU,CU3,2015/11/03,48,4402,1428096,1.89,002438-20-2,83.0,CU3-1103-48,11.6952277657,CU3-1103
80,CU,CU3,2015/11/03,49,4488,39469,0.05,000108-95-2,55.0,CU3-1103-49,13.6878130217,CU3-1103
81,CU,CU3,2015/11/03,50,4545,311108,0.41,000110-93-0,93.0,CU3-1103-50,16.8264248705,CU3-1103
82,CU,CU3,2015/11/03,51,4582,243187,0.32,000111-13-7,94.0,CU3-1103-51,21.7935222672,CU3-1103
83,CU,CU3,2015/11/03,52,4627,1091830,1.44,000109-21-7,90.0,CU3-1103-52,51.6794871795,CU3-1103
84,CU,CU3,2015/11/03,53,4661,4339556,5.73,000556-67-2,72.0,CU3-1103-53,10.0137293359,CU3-1103
85,CU,CU3,2015/11/03,54,4715,153014,0.2,000111-90-0,86.0,CU3-1103-54,10.0748663102,CU3-1103
86,CU,CU3,2015/11/03,55,4736,173854,0.23,000624-54-4,53.0,CU3-1103-55,10.1003649635,CU3-1103
87,CU,CU3,2015/11/03,55,4736,173854,0.23,000106-36-5,43.0,CU3-1103-55,10.1003649635,CU3-1103
88,CU,CU3,2015/11/03,56,4795,4468185,5.9,000142-92-7,90.0,CU3-1103-56,10.1796543854,CU3-1103
89,CU,CU3,2015/11/03,57,4940,76757,0.1,000104-76-7,52.0,CU3-1103-57,10.4340071344,CU3-1103
90,CU,CU3,2015/11/03,58,4988,56775,0.07,000629-62-9,47.0,CU3-1103-58,10.5441741357,CU3-1103
91,CU,CU3,2015/11/03,58,4988,56775,0.07,000112-95-8,49.0,CU3-1103-58,10.5441741357,CU3-1103
92,CU,CU3,2015/11/03,59,5068,1872499,2.47,015706-73-7,90.0,CU3-1103-59,10.7709251101,CU3-1103
93,CU,CU3,2015/11/03,60,5176,58847,0.08,002051-30-1,53.0,CU3-1103-60,11.2087912088,CU3-1103
94,CU,CU3,2015/11/03,60,5176,58847,0.08,001071-26-7,53.0,CU3-1103-60,11.2087912088,CU3-1103
95,CU,CU3,2015/11/03,61,5229,263740,0.35,000540-18-1,90.0,CU3-1103-61,11.5125,CU3-1103
96,CU,CU3,2015/11/03,61,5229,263740,0.35,051115-64-1,90.0,CU3-1103-61,11.5125,CU3-1103
